title,url,page_id
WEB Стационар: Приемный покой,https://sd.hostco.ru/projects/amurmis/wiki/%D0%9F%D1%80%D0%B8%D0%B5%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D0%BA%D0%BE%D0%B9,54
WEB Диспансеризация,https://sd.hostco.ru/projects/amurmis/wiki/WEB_%D0%94%D0%B8%D1%81%D0%BF%D0%B0%D0%BD%D1%81%D0%B5%D1%80%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F,1
Демография: Свидетельство о смерти,https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%BE_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D0%B8,76
Демография: Свидетельство о рождении,https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%BE_%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B8,75
WEB Поликлиника: Вызов врача на дом,https://sd.hostco.ru/projects/amurmis/wiki/%D0%92%D1%8B%D0%B7%D0%BE%D0%B2_%D0%B2%D1%80%D0%B0%D1%87%D0%B0_%D0%BD%D0%B0_%D0%B4%D0%BE%D0%BC,3
WEB Поликлиника: Журнал направлений,https://sd.hostco.ru/projects/amurmis/wiki/%D0%96%D1%83%D1%80%D0%BD%D0%B0%D0%BB_%D0%BD%D0%B0%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9,5
WEB Поликлиника: Лист нетрудоспособности,https://sd.hostco.ru/projects/amurmis/wiki/%D0%9B%D0%B8%D1%81%D1%82_%D0%BD%D0%B5%D1%82%D1%80%D1%83%D0%B4%D0%BE%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D0%B8,10
"WEB Поликлиника: Просмотр статистических данных по ""Случаям лечения""",https://sd.hostco.ru/projects/amurmis/wiki/%D0%9F%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80_%D1%81%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85_%D0%BF%D0%BE_%C2%AB%D0%A1%D0%BB%D1%83%D1%87%D0%B0%D1%8F%D0%BC_%D0%BB%D0%B5%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%C2%BB,12
WEB Стационар: Гемотрансфузия: Работа с заявками и компонентами крови,https://sd.hostco.ru/projects/amurmis/wiki/%D0%A0%D0%B0%D0%B1%D0%BE%D1%82%D0%B0_%D1%81_%D0%B7%D0%B0%D1%8F%D0%B2%D0%BA%D0%B0%D0%BC%D0%B8_%D0%B8_%D0%BA%D0%BE%D0%BC%D0%BF%D0%BE%D0%BD%D0%B5%D0%BD%D1%82%D0%B0%D0%BC%D0%B8_%D0%BA%D1%80%D0%BE%D0%B2%D0%B8_,43
WEB Стационар: Пакет направлений на исследования,https://sd.hostco.ru/projects/amurmis/wiki/%D0%9F%D0%B0%D0%BA%D0%B5%D1%82_%D0%BD%D0%B0%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9_%D0%BD%D0%B0_%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F,51
Администрирование МИС: Создание Врачебных комиссий,https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5_%D0%92%D1%80%D0%B0%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D1%85_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%B9,63
Администрирование МИС: Создание новых пользователей и аккаунтов в Веб-МИС,https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BD%D0%BE%D0%B2%D1%8B%D1%85_%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D0%B5%D0%B9_%D0%B8_%D0%B0%D0%BA%D0%BA%D0%B0%D1%83%D0%BD%D1%82%D0%BE%D0%B2_%D0%B2_%D0%92%D0%B5%D0%B1-%D0%9C%D0%98%D0%A1,65
Администрирование МИС: Настройки для отправки коммерческих и льготных рецептов,https://sd.hostco.ru/projects/amurmis/wiki/%D0%9D%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B9%D0%BA%D0%B8_%D0%B4%D0%BB%D1%8F_%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B8_%D0%BA%D0%BE%D0%BC%D0%BC%D0%B5%D1%80%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D0%B8_%D0%BB%D1%8C%D0%B3%D0%BE%D1%82%D0%BD%D1%8B%D1%85_%D1%80%D0%B5%D1%86%D0%B5%D0%BF%D1%82%D0%BE%D0%B2,69
"Правильное оформление и отправка СЭМД: Beta (SMSV5) СЭМД ""Прием (осмотр) врача-специалиста""",https://sd.hostco.ru/projects/amurmis/wiki/Beta_(SMSV5)_%D0%A1%D0%AD%D0%9C%D0%94_%22%D0%9F%D1%80%D0%B8%D0%B5%D0%BC_(%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80)_%D0%B2%D1%80%D0%B0%D1%87%D0%B0-%D1%81%D0%BF%D0%B5%D1%86%D0%B8%D0%B0%D0%BB%D0%B8%D1%81%D1%82%D0%B0%22,89
"Правильное оформление и отправка СЭМД: СЭМД (169)""Справка о временной нетрудоспособности студента""",https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%AD%D0%9C%D0%94_(169)_%22%D0%A1%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0_%D0%BE_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%BD%D0%B5%D1%82%D1%80%D1%83%D0%B4%D0%BE%D1%81%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D0%B8_%D1%81%D1%82%D1%83%D0%B4%D0%B5%D0%BD%D1%82%D0%B0%22,116
"Правильное оформление и отправка СЭМД: СЭМД (230)""Медицинское заключение по результатам медицинского осмотра работника для предоставления в подсистему ЭЛМК""",https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%AD%D0%9C%D0%94_(230)_%22%D0%9C%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D0%B7%D0%B0%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BF%D0%BE_%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B0%D0%BC_%D0%BC%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B0_%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BD%D0%B8%D0%BA%D0%B0_%D0%B4%D0%BB%D1%8F_%D0%BF%D1%80%D0%B5%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F_%D0%B2_%D0%BF%D0%BE%D0%B4%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%83_%D0%AD%D0%9B%D0%9C%D0%9A%22,138
"Правильное оформление и отправка СЭМД: СЭМД (75)""Протокол лабораторного исследования""",https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%AD%D0%9C%D0%94_(75)_%22%D0%9F%D1%80%D0%BE%D1%82%D0%BE%D0%BA%D0%BE%D0%BB_%D0%BB%D0%B0%D0%B1%D0%BE%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%22,150
"Правильное оформление и отправка СЭМД: СЭМД (99)""Выписка из протокола врачебной комиссии""",https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%AD%D0%9C%D0%94_(99)_%22%D0%92%D1%8B%D0%BF%D0%B8%D1%81%D0%BA%D0%B0_%D0%B8%D0%B7_%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0_%D0%B2%D1%80%D0%B0%D1%87%D0%B5%D0%B1%D0%BD%D0%BE%D0%B9_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%B8%22,158
"Правильное оформление и отправка СЭМД: СЭМД (SMSV37)""СЭМД ""Извещение о больном с впервые в жизни установленным диагнозом злокачественного новообразования"" в РЭМД и ВИМИС ""Онкология""",https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%AD%D0%9C%D0%94_(SMSV37)_%22%D0%A1%D0%AD%D0%9C%D0%94_%C2%AB%D0%98%D0%B7%D0%B2%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BE_%D0%B1%D0%BE%D0%BB%D1%8C%D0%BD%D0%BE%D0%BC_%D1%81_%D0%B2%D0%BF%D0%B5%D1%80%D0%B2%D1%8B%D0%B5_%D0%B2_%D0%B6%D0%B8%D0%B7%D0%BD%D0%B8_%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D0%BC_%D0%B4%D0%B8%D0%B0%D0%B3%D0%BD%D0%BE%D0%B7%D0%BE%D0%BC_%D0%B7%D0%BB%D0%BE%D0%BA%D0%B0%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE_%D0%BD%D0%BE%D0%B2%D0%BE%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%C2%BB_%D0%B2_%D0%A0%D0%AD%D0%9C%D0%94_%D0%B8_%D0%92%D0%98%D0%9C%D0%98%D0%A1_%C2%AB%D0%9E%D0%BD%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%C2%BB,164
