row_id,Question,Answer
48,Какова доля рынка дронов для логистики и доставки (в процентах)?,100
49,Какова доля рынка дронов для сельского хозяйства (в процентах)?,100
50,Какова доля рынка дронов для инспекции инфраструктуры (в процентах)?,100
51,Какова доля рынка дронов для медиа и развлечений (в процентах)?,100
52,Сколько минут полета обычно предлагают потребительские дроны? (Нижний предел),100
53,Сколько минут полета обычно предлагают потребительские дроны? (Верхний предел),100
54,Сколько часов могут летать специализированные модели дронов?,100
55,Сколько километров составляет дальность управления многими потребительскими дронами? (Нижний предел),100
56,Сколько километров составляет дальность управления многими потребительскими дронами? (Верхний предел),100
57,Сколько килограммов могут нести небольшие дроны для доставки?,100
58,Сколько килограммов могут перевозить тяжелые промышленные дроны?,100
59,Какую скорость могут развивать типичные потребительские дроны (в км/ч)?,100
60,Какую скорость могут развивать гоночные дроны (в км/ч)?,100
61,Какую скорость могут развивать военные разведывательные дроны (в км/ч)?,100
62,Сколько акров урожая может обследовать дрон в сельском хозяйстве за 15 минут?,100
63,"Во сколько раз дроны могут завершить обследование строительной площадки быстрее, чем традиционные методы?",100
64,На сколько процентов снизилось число крушений дронов в сложных условиях за последние 5 лет?,100
65,С какой точностью (в процентах) AI-дроны могут идентифицировать больные растения?,100
66,Сколько миллиардов USD составлял рынок доставки дронами в 2023 году?,100
67,Сколько миллионов доставок дронами было совершено в 2023 году?,100
68,Сколько миллиардов USD прогнозируется для рынка доставки дронами к 2026 году?,100
69,Сколько миллионов доставок дронами прогнозируется к 2026 году?,100
70,Сколько миллиардов USD прогнозируется для рынка доставки дронами к 2030 году?,100
71,Сколько миллионов доставок дронами прогнозируется к 2030 году?,100
72,На сколько процентов повышается эффективность благодаря интеграции дронов с ИИ-агентами и n8n?,100
73,Сколько членов насчитывало племя Лабуба?,100
74,Какой был средний возраст Лабуба?,100
75,До скольки лет могли прожить Лабуба?,100
76,Во сколько раз дольше жили Лабуба чем средний человек на Земле?,100
77,Сколько лет было Рустику в начале сказки?,100
78,Сколько домов было в поселении Рустика?,100
79,Сколько комнат было в каждом доме Лабуба?,100
80,Сколько больших окон было в каждом доме Лабуба?,100
81,Сколько кратеров было видно из окон домов?,100
82,Сколько граммов водорослей Рустик собирал каждый день? Ответ в граммах,100
83,Сколько граммов водорослей Рустик собирал за неделю? Ответ в граммах,100
84,Сколько граммов водорослей Рустик собирал за месяц? Ответ в граммах,100
85,Сколько единиц энергии давали водоросли в день?,100
86,На сколько лет Затерянные Сады могли накормить племя?,100
87,За сколькими горами были скрыты Затерянные Сады?,100
88,Какова была высота каждой горы? В киллометрах,100
89,Сколько марсианских дней занял бы путь Рустика?,100
90,Сколько земных дней равно 90 марсианским дням?,100
91,На сколько минут марсианский день длиннее земного?,100
92,Сколько больших рюкзаков взял с собой Рустик?,100
93,Сколько граммов сухих водорослей было в каждом рюкзаке?,100
94,Сколько литров воды было в каждом рюкзаке?,100
95,Сколько километров Рустику пришлось пройти?,100
96,Сколько гигантских марсианских жуков встретил Рустик?,100
97,Мимо скольких марсианских озер прошел Рустик?,100
98,Через сколько дней пути Рустик достиг первой горы?,100
99,Сколько дней занял подъем на первую гору?,100
100,На сколько километров вверх поднялся Рустик?,100
101,Сколько стрелок было на карте?,100
102,Сколько символов было на карте?,100
103,Сколько часов Рустик размышлял над картой?,100
104,Сколько километров Рустику нужно было пройти на север?,100
105,Сколько километров Рустику нужно было пройти на восток?,100
106,Сколько дней были самыми трудными для Рустика?,100
107,До скольки градусов Цельсия опускалась температура ночью?,100
108,До скольки градусов Цельсия поднималась температура днем?,100
109,Сколько падающих звезд Рустик увидел за одну ночь?,100
110,Сколько широких каньонов преодолел Рустик?,100
111,Какова была глубина каждого каньона? Ответ в метрах,100
112,На какой день путешествия Рустик увидел Затерянные Сады? Ответить номером дня,100
113,Какова была площадь Затерянных Садов? (квадратных киллометров),100
114,Сколько разноцветных растений росло в садах? Ответ в тысячах,100
115,Сколько различных видов фруктов насчитал Рустик?,100
116,Сколько видов овощей насчитал Рустик?,100
117,Сколько дней заняло путешествие Рустика туда и обратно?,100
118,Сколько семян принес Рустик?,100
119,Через сколько дней первые растения начали плодоносить?,100
120,Сколько киллограм еды собрали Лабуба за 1 год?,100
121,Во сколько раз больше еды стало у каждого Лабуба? Ответ числом,100
122,За сколько лет истории Лабуба Рустик стал самым молодым героем?,100
